# ==============================================================================
# This text file contains our raw results.
#
# Authors:
#   Dustin Kut Moy Cheung
#   Didier Landry
# 
# ==============================================================================

learn 0.01
[ddl@King-George csc2515h]$ python train.py
Loading training data from: ../data/train_32x32.mat
Loading training data done!
Greyscaling filter on the images...
Greyscaling filter done!
(73257, 1024)
(73257, 1)
[0 8 1 ..., 0 5 8]
  InputLayer        	(None, 1024)        	produces    1024 outputs
  DenseLayer        	(None, 100)         	produces     100 outputs
  DenseLayer        	(None, 10)          	produces      10 outputs

 Epoch  |  Train loss  |  Valid loss  |  Train / Val  |  Valid acc  |  Dur
--------|--------------|--------------|---------------|-------------|-------
     1  |    2.240493  |    2.218780  |     1.009786  |     20.01%  |  2.5s
     2  |    2.198246  |    2.174051  |     1.011129  |     21.79%  |  1.7s
     3  |    2.145662  |    2.113375  |     1.015277  |     24.67%  |  1.8s
     4  |    2.076488  |    2.035023  |     1.020376  |     29.71%  |  2.1s
     5  |    1.992171  |    1.945133  |     1.024182  |     34.76%  |  2.5s
     6  |    1.899076  |    1.850588  |     1.026201  |     39.40%  |  2.2s
     7  |    1.805075  |    1.760037  |     1.025589  |     43.95%  |  2.0s
     8  |    1.716261  |    1.676317  |     1.023828  |     48.11%  |  2.3s
     9  |    1.635053  |    1.600266  |     1.021738  |     51.53%  |  2.2s
    10  |    1.561946  |    1.533535  |     1.018527  |     54.36%  |  2.1s
    11  |    1.496842  |    1.473821  |     1.015621  |     56.85%  |  2.3s
    12  |    1.439314  |    1.420231  |     1.013436  |     58.80%  |  2.1s
    13  |    1.388725  |    1.373618  |     1.010998  |     60.31%  |  2.0s
    14  |    1.344143  |    1.333048  |     1.008323  |     61.40%  |  2.0s
    15  |    1.304812  |    1.296292  |     1.006573  |     62.58%  |  2.4s
    16  |    1.269588  |    1.265235  |     1.003440  |     63.43%  |  2.3s
    17  |    1.238514  |    1.238360  |     1.000124  |     64.06%  |  2.2s
    18  |    1.210713  |    1.212357  |     0.998644  |     64.85%  |  2.0s
    19  |    1.185746  |    1.190416  |     0.996077  |     65.44%  |  2.2s
    20  |    1.163218  |    1.170713  |     0.993598  |     65.83%  |  2.9s
    21  |    1.142766  |    1.151161  |     0.992707  |     66.32%  |  2.6s
    22  |    1.124167  |    1.135603  |     0.989930  |     66.60%  |  2.0s
    23  |    1.107170  |    1.120540  |     0.988068  |     66.92%  |  2.0s
    24  |    1.091659  |    1.106836  |     0.986288  |     67.25%  |  2.3s
    25  |    1.077116  |    1.094498  |     0.984118  |     67.54%  |  2.3s
    26  |    1.063719  |    1.081115  |     0.983910  |     67.97%  |  2.3s
    27  |    1.051252  |    1.071621  |     0.980992  |     68.15%  |  2.1s
    28  |    1.039613  |    1.060962  |     0.979878  |     68.38%  |  2.1s
    29  |    1.028778  |    1.052879  |     0.977110  |     68.62%  |  2.1s
    30  |    1.018522  |    1.043760  |     0.975820  |     68.94%  |  2.0s
    31  |    1.008722  |    1.037423  |     0.972334  |     69.10%  |  2.1s
    32  |    0.999484  |    1.029600  |     0.970750  |     69.31%  |  2.1s
    33  |    0.990651  |    1.021302  |     0.969988  |     69.59%  |  2.1s
    34  |    0.982084  |    1.014074  |     0.968454  |     69.76%  |  2.0s
    35  |    0.973903  |    1.007235  |     0.966908  |     70.02%  |  2.0s
    36  |    0.966017  |    1.001745  |     0.964335  |     70.13%  |  2.0s
    37  |    0.958434  |    0.993205  |     0.964992  |     70.35%  |  2.0s
    38  |    0.951081  |    0.988869  |     0.961786  |     70.54%  |  1.9s
    39  |    0.944011  |    0.980851  |     0.962441  |     70.79%  |  2.1s
    40  |    0.937102  |    0.974450  |     0.961672  |     70.96%  |  1.9s
    41  |    0.930453  |    0.972001  |     0.957255  |     71.01%  |  2.1s
    42  |    0.924021  |    0.966360  |     0.956187  |     71.04%  |  2.3s
    43  |    0.917659  |    0.962790  |     0.953125  |     71.14%  |  2.2s
    44  |    0.911572  |    0.952515  |     0.957016  |     71.51%  |  2.1s
    45  |    0.905487  |    0.946966  |     0.956197  |     71.64%  |  2.2s
    46  |    0.899650  |    0.941837  |     0.955208  |     71.86%  |  2.2s
    47  |    0.893899  |    0.938468  |     0.952509  |     71.86%  |  2.0s
    48  |    0.888354  |    0.933719  |     0.951414  |     72.03%  |  2.1s
    49  |    0.882810  |    0.928994  |     0.950286  |     72.22%  |  2.0s
    50  |    0.877467  |    0.923946  |     0.949695  |     72.38%  |  2.0s
    51  |    0.872210  |    0.917643  |     0.950489  |     72.51%  |  2.0s
    52  |    0.867105  |    0.913426  |     0.949289  |     72.64%  |  2.0s
